# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
177,1654750377.8411026,736.6,2109440,-24.160451889038086,5195.8349609375,208.95724487304688,157.32037353515625,68.73058319091797,-17.093727111816406,64
178,1654750384.8854368,746.6,2129920,-42.08442687988281,5562.1904296875,85.5718765258789,82.86003112792969,20.24921417236328,-17.537370681762695,64
179,1654750388.580479,746.6,2140160,-2.8689143657684326,5259.2666015625,292.3508605957031,237.35470581054688,72.71119689941406,-17.71504783630371,64
180,1654750393.8535411,756.6,2155520,18.179962158203125,5165.5166015625,240.44000244140625,192.07081604003906,66.02540588378906,-17.65622329711914,64
181,1654750395.5222542,756.6,2160640,-23.28771209716797,5642.68994140625,903.7028198242188,671.9475708007812,249.40330505371094,-17.648086547851562,64
182,1654750397.2364266,756.6,2165760,-26.780071258544922,4989.83740234375,-100.30622863769531,-99.72512817382812,16.95386505126953,-17.534961700439453,64
183,1654750399.0023117,761.6,2170880,-17.463090896606445,5661.4892578125,-202.7895050048828,-187.09521484375,1.6520073413848877,-17.346303939819336,64
184,1654750400.703126,761.6,2176000,-73.85822296142578,4982.6328125,198.75265502929688,153.58103942871094,62.526729583740234,-17.35511589050293,64
185,1654750402.4268515,761.6,2181120,-56.512367248535156,4831.27294921875,280.9894104003906,233.08462524414062,64.86190032958984,-16.957130432128906,64
186,1654750404.1611893,766.6,2186240,-4.737674713134766,5535.88525390625,130.83042907714844,112.13328552246094,35.43331527709961,-16.736169815063477,64
187,1654750407.7834866,766.6,2196480,-71.18692779541016,4621.77685546875,60.060218811035156,44.163055419921875,32.6002082824707,-16.703039169311523,64
188,1654750409.5261405,771.6,2201600,-61.16360092163086,5934.9609375,-133.50657653808594,-129.31002807617188,12.695634841918945,-16.892179489135742,64
189,1654750411.156002,771.6,2206720,22.180198669433594,5134.23779296875,151.8785858154297,102.81575012207031,65.5346450805664,-16.471813201904297,64
